﻿Раздел;№;Мероприятие;Ответственный;Срок;Статус;Детали
План;11;Мониторинг бизнес-проверок качества (139 шт.);PO Рисков;30.09.2026;Планируется;"Критичные из 139 — в оперативный мониторинг; остальные — периодический/отчётный контур. Нужна приоритизация"
План;12;Реестр критичных потоков и влияния — регулярное обновление;Страхов / Проектный офис;с 01.08.2026 (ритм уточнить);Не начато;"Ритм (еженед./по релизу): актуализация списка потоков, влияния на БКИ, ответственных, глаз мониторинга"
План;13;Change management: data contracts источник–ЕХД;Процессный офис + Дата-команда;пилот 2026 / полный — уточнить;Не начато;"Изменение схемы/валидации/контракта источника не проходит без оценки влияния на БКИ и апдейта контракта. Связка с Process Office"
План;14;Практики: data contracts + data catalog;Страхов / Дата-команда;старт с 01.08.2026 (квота 30%);Планируется;"Долгосрок: каталог активов, владельцы, контракты, lineage. Снижает зависимость от «героев» и ручных глаз"
План;15;Чендж-менеджмент (целевой процесс);назначить исполнителя;31.12.2027;Планируется;"Целевое состояние процессов изменений данных; промежуточные вехи обязательны (иначе срок «бесконечный»)"
Вывод;1;Краткосрочный контур (до 27.07);Страхов / Сит.центр / Support;;;"Критерии успеха + линедж + статус потоков + индикатор в Сит.центр + передача мониторинга в Support. Закрывает «проспали алерты»"
Вывод;2;Среднесрочный контур (до 30.09);Data + Риски;;;"Аудит блокеров валидации; критичный DQ в том же мониторинге, что техконтроли; приоритизация 139 проверок"
Вывод;3;Долгосрочный контур (2026–2027);Процессный офис + Дата-команда;;;"Data contracts, data catalog, change management — чтобы инцидент не повторялся из-за изменения источника без оценки влияния на БКИ"
Вывод;4;Организационное решение с 01.08;Дата-команда;01.08.2026;;"Квота 70/30 фиксирует ресурс на устойчивость, иначе техмеры вытесняются бизнес-бэклогом"
Вывод;5;Условие готовности плана для топов;;;;;"Для финализации нужны ответы минимум по: SLA отправки; шкала Grafana; модель «10 глаз»; причина пропуска алертов; RACI; число источников/потоков; критичность из 139; срок п.5; утверждение квоты 70/30; вехи до 31.12.2027; DoD по пунктам"
Вопрос;1;Что не ушло в БКИ: полный день / часть портфеля / сегмент?;;;;;
Вопрос;2;Бизнес-импакт и дедлайн регулятора на повторную отправку?;;;;;
Вопрос;3;Жёсткий SLA: до какого времени (МСК) данные должны быть готовы и отправлены?;;;;;
Вопрос;4;Подтверждается ли шкала Grafana (до 10 / 10–12 / после 12)?;;;;;
Вопрос;5;«10 глаз» — люди в графике или чеклист ролей? Кто фиксирует просмотр?;;;;;
Вопрос;6;Почему проспали алерты: нет алерта / ложные / нет эскалации / нет on-call?;;;;;
Вопрос;7;Страхов — единый опер. владелец п.1–6 или раздельные владельцы?;;;;;
Вопрос;8;Сколько источников и потоков в контуре БКИ? Есть список критичных?;;;;;
Вопрос;9;Сколько из 139 проверок критичны для отправки в БКИ?;;;;;
Вопрос;10;Срок п.5 (Grafana) и реалистичность 27.07 вместе с п.3–4?;;;;;
Вопрос;11;Квота 70/30: от чьего FTE и кто утверждает?;;;;;
Вопрос;12;Промежуточные вехи по change management до 31.12.2027?;;;;;
Вопрос;13;DoD по пунктам: документ / дашборд / runbook / акт передачи?;;;;;
